model,scramble,solve_rate,avg_steps
ppo_cube_100401920_steps.zip,1,1.0,1.0
ppo_cube_100401920_steps.zip,2,0.9,1.6555555555555554
ppo_cube_100401920_steps.zip,3,0.96,1.8958333333333333
ppo_cube_100401920_steps.zip,5,0.78,18.23076923076923
ppo_cube_100401920_steps.zip,7,0.68,53.720588235294116
ppo_cube_100401920_steps.zip,10,0.66,63.0
ppo_cube_100401920_steps.zip,12,0.41,176.29268292682926
ppo_cube_100401920_steps.zip,15,0.35,235.65714285714284
ppo_cube_100401920_steps.zip,17,0.27,349.44444444444446
ppo_cube_100401920_steps.zip,20,0.33,272.0
ppo_cube_100401920_steps.zip,25,0.14,840.5
ppo_cube_101201920_steps.zip,1,1.0,1.0
ppo_cube_101201920_steps.zip,2,0.96,1.5833333333333333
ppo_cube_101201920_steps.zip,3,0.97,1.8865979381443299
ppo_cube_101201920_steps.zip,5,0.78,27.794871794871796
ppo_cube_101201920_steps.zip,7,0.7,37.65714285714286
ppo_cube_101201920_steps.zip,10,0.52,113.84615384615384
ppo_cube_101201920_steps.zip,12,0.44,143.6818181818182
ppo_cube_101201920_steps.zip,15,0.3,319.3666666666667
ppo_cube_101201920_steps.zip,17,0.36,241.33333333333334
ppo_cube_101201920_steps.zip,20,0.3,294.73333333333335
ppo_cube_101201920_steps.zip,25,0.24,454.5
ppo_cube_102001920_steps.zip,1,1.0,1.0
ppo_cube_102001920_steps.zip,2,0.95,1.5894736842105264
ppo_cube_102001920_steps.zip,3,0.87,2.045977011494253
ppo_cube_102001920_steps.zip,5,0.8,12.55
ppo_cube_102001920_steps.zip,7,0.63,63.523809523809526
ppo_cube_102001920_steps.zip,10,0.45,157.26666666666668
ppo_cube_102001920_steps.zip,12,0.54,117.01851851851852
ppo_cube_102001920_steps.zip,15,0.3,309.23333333333335
ppo_cube_102001920_steps.zip,17,0.31,307.64516129032256
ppo_cube_102001920_steps.zip,20,0.26,391.2307692307692
ppo_cube_102001920_steps.zip,25,0.21,539.9047619047619
ppo_cube_102801920_steps.zip,1,1.0,1.0
ppo_cube_102801920_steps.zip,2,1.0,1.6
ppo_cube_102801920_steps.zip,3,0.91,2.043956043956044
ppo_cube_102801920_steps.zip,5,0.81,14.08641975308642
ppo_cube_102801920_steps.zip,7,0.75,37.0
ppo_cube_102801920_steps.zip,10,0.46,137.6304347826087
ppo_cube_102801920_steps.zip,12,0.44,144.02272727272728
ppo_cube_102801920_steps.zip,15,0.46,154.02173913043478
ppo_cube_102801920_steps.zip,17,0.25,424.0
ppo_cube_102801920_steps.zip,20,0.26,379.84615384615387
ppo_cube_102801920_steps.zip,25,0.21,525.4285714285714
ppo_cube_103601920_steps.zip,1,1.0,1.0
ppo_cube_103601920_steps.zip,2,0.98,1.4285714285714286
ppo_cube_103601920_steps.zip,3,0.95,2.0526315789473686
ppo_cube_103601920_steps.zip,5,0.88,16.068181818181817
ppo_cube_103601920_steps.zip,7,0.71,41.28169014084507
ppo_cube_103601920_steps.zip,10,0.48,132.10416666666666
ppo_cube_103601920_steps.zip,12,0.45,166.6
ppo_cube_103601920_steps.zip,15,0.38,209.6578947368421
ppo_cube_103601920_steps.zip,17,0.32,285.3125
ppo_cube_103601920_steps.zip,20,0.3,314.23333333333335
ppo_cube_103601920_steps.zip,25,0.27,359.77777777777777
ppo_cube_104401920_steps.zip,1,1.0,1.0
ppo_cube_104401920_steps.zip,2,0.91,1.6703296703296704
ppo_cube_104401920_steps.zip,3,0.9,2.077777777777778
ppo_cube_104401920_steps.zip,5,0.94,2.5106382978723403
ppo_cube_104401920_steps.zip,7,0.7,40.142857142857146
ppo_cube_104401920_steps.zip,10,0.52,104.98076923076923
ppo_cube_104401920_steps.zip,12,0.42,185.64285714285714
ppo_cube_104401920_steps.zip,15,0.33,259.06060606060606
ppo_cube_104401920_steps.zip,17,0.32,272.34375
ppo_cube_104401920_steps.zip,20,0.28,342.39285714285717
ppo_cube_104401920_steps.zip,25,0.16,700.375
ppo_cube_105201920_steps.zip,1,1.0,1.0
ppo_cube_105201920_steps.zip,2,0.92,1.5869565217391304
ppo_cube_105201920_steps.zip,3,0.93,2.053763440860215
ppo_cube_105201920_steps.zip,5,0.83,11.975903614457831
ppo_cube_105201920_steps.zip,7,0.66,47.36363636363637
ppo_cube_105201920_steps.zip,10,0.54,107.0
ppo_cube_105201920_steps.zip,12,0.45,167.2
ppo_cube_105201920_steps.zip,15,0.34,234.91176470588235
ppo_cube_105201920_steps.zip,17,0.35,256.54285714285714
ppo_cube_105201920_steps.zip,20,0.35,248.22857142857143
ppo_cube_105201920_steps.zip,25,0.26,396.8076923076923
ppo_cube_106001920_steps.zip,1,1.0,1.0
ppo_cube_106001920_steps.zip,2,0.9,1.6888888888888889
ppo_cube_106001920_steps.zip,3,0.89,3.853932584269663
ppo_cube_106001920_steps.zip,5,0.85,13.4
ppo_cube_106001920_steps.zip,7,0.64,60.078125
ppo_cube_106001920_steps.zip,10,0.48,132.0625
ppo_cube_106001920_steps.zip,12,0.34,252.0
ppo_cube_106001920_steps.zip,15,0.34,242.47058823529412
ppo_cube_106001920_steps.zip,17,0.34,234.5
ppo_cube_106001920_steps.zip,20,0.27,366.5925925925926
ppo_cube_106001920_steps.zip,25,0.24,453.9583333333333
ppo_cube_106801920_steps.zip,1,1.0,1.0
ppo_cube_106801920_steps.zip,2,0.99,1.4444444444444444
ppo_cube_106801920_steps.zip,3,0.89,2.1235955056179776
ppo_cube_106801920_steps.zip,5,0.79,18.329113924050635
ppo_cube_106801920_steps.zip,7,0.69,29.73913043478261
ppo_cube_106801920_steps.zip,10,0.51,115.58823529411765
ppo_cube_106801920_steps.zip,12,0.47,132.08510638297872
ppo_cube_106801920_steps.zip,15,0.33,241.6969696969697
ppo_cube_106801920_steps.zip,17,0.35,248.2
ppo_cube_106801920_steps.zip,20,0.28,368.92857142857144
ppo_cube_106801920_steps.zip,25,0.16,717.75
ppo_cube_107601920_steps.zip,1,1.0,1.0
ppo_cube_107601920_steps.zip,2,0.92,1.6521739130434783
ppo_cube_107601920_steps.zip,3,0.94,1.946808510638298
ppo_cube_107601920_steps.zip,5,0.87,12.919540229885058
ppo_cube_107601920_steps.zip,7,0.64,54.953125
ppo_cube_107601920_steps.zip,10,0.58,75.91379310344827
ppo_cube_107601920_steps.zip,12,0.38,194.10526315789474
ppo_cube_107601920_steps.zip,15,0.34,251.0
ppo_cube_107601920_steps.zip,17,0.26,368.88461538461536
ppo_cube_107601920_steps.zip,20,0.3,329.8666666666667
ppo_cube_107601920_steps.zip,25,0.15,737.0666666666667
ppo_cube_108401920_steps.zip,1,1.0,1.0
ppo_cube_108401920_steps.zip,2,0.93,3.193548387096774
ppo_cube_108401920_steps.zip,3,0.93,5.096774193548387
ppo_cube_108401920_steps.zip,5,0.83,21.14457831325301
ppo_cube_108401920_steps.zip,7,0.68,34.794117647058826
ppo_cube_108401920_steps.zip,10,0.55,109.76363636363637
ppo_cube_108401920_steps.zip,12,0.54,114.48148148148148
ppo_cube_108401920_steps.zip,15,0.36,233.0
ppo_cube_108401920_steps.zip,17,0.34,259.97058823529414
ppo_cube_108401920_steps.zip,20,0.21,539.3333333333334
ppo_cube_108401920_steps.zip,25,0.23,498.4347826086956
ppo_cube_109201920_steps.zip,1,1.0,1.0
ppo_cube_109201920_steps.zip,2,0.96,1.53125
ppo_cube_109201920_steps.zip,3,0.94,2.021276595744681
ppo_cube_109201920_steps.zip,5,0.82,12.134146341463415
ppo_cube_109201920_steps.zip,7,0.71,34.985915492957744
ppo_cube_109201920_steps.zip,10,0.54,109.51851851851852
ppo_cube_109201920_steps.zip,12,0.41,183.70731707317074
ppo_cube_109201920_steps.zip,15,0.37,195.3783783783784
ppo_cube_109201920_steps.zip,17,0.35,256.42857142857144
ppo_cube_109201920_steps.zip,20,0.26,397.4230769230769
ppo_cube_109201920_steps.zip,25,0.16,736.125
ppo_cube_110001920_steps.zip,1,1.0,1.0
ppo_cube_110001920_steps.zip,2,0.97,1.5360824742268042
ppo_cube_110001920_steps.zip,3,0.91,2.098901098901099
ppo_cube_110001920_steps.zip,5,0.79,21.82278481012658
ppo_cube_110001920_steps.zip,7,0.68,43.661764705882355
ppo_cube_110001920_steps.zip,10,0.57,74.59649122807018
ppo_cube_110001920_steps.zip,12,0.48,113.66666666666667
ppo_cube_110001920_steps.zip,15,0.33,276.4848484848485
ppo_cube_110001920_steps.zip,17,0.33,267.8181818181818
ppo_cube_110001920_steps.zip,20,0.25,412.4
ppo_cube_110001920_steps.zip,25,0.21,539.3809523809524
